id,landmarks
000088da12d664db,3438 1.00
0001623c6d808702,8205 1.00
0001bbb682d45002,10317 1.00
0002362830cfe3a3,10621 1.00
000270c9100de789,573 1.00
0002b0fab5d3ccc4,10317 1.00
000396be3c24830a,829 1.00
000506dc6ab3a40e,5196 1.00
0005292fc4b005a3,11832 1.00
0005456a82264bc8,8711 1.00
00055cf2bfb5594a,3802 1.00
000664eed4a70821,12868 1.00
0006aea5b6f4eaaa,10317 1.00
0006bbfa00dd6c0f,7976 1.00
0008aee1c0abed9d,7976 1.00
0008de5f3c25d563,12211 1.00
00094466c9f054f4,14803 1.00
0009f09a69405693,3806 1.00
000a7f4a25af7558,9060 1.00
000a9180e4dc8705,9060 1.00
000aee511bc53f8b,5114 1.00
000b55ddc1160a12,13153 1.00
000c08916d77b8ba,6764 1.00
000c2a80838aabff,10358 1.00
000dad8a776a3631,9621 1.00
000e30f1e5b32741,14234 1.00
000e47a43eb8a307,8205 1.00
00108ec72b2344bd,9060 1.00
0010ab920bac8640,10317 1.00
0010e7cad366d6fa,6764 1.00
001119140e4bb030,9060 1.00
0013a06d20c7839f,11643 1.00
001490806c884d96,11303 1.00
0014be4f4910bbe6,11832 1.00
0014ea5d819557be,10434 1.00
0015898890608086,10434 1.00
001645116c77f6be,13480 1.00
001693c1ea808396,11832 1.00
00169f449b4c60c0,11832 1.00
0016de8fd1c3eab6,3450 1.00
0017719d5bba733c,11832 1.00
0017deb491895bba,573 1.00
001800346d31f711,9060 0.99
00181e5553bf2564,10358 1.00
0018893bd38632df,9659 1.00
0018b97bd2b24bd7,11002 1.00
0018d55375fc9760,2003 1.00
001a35e59d5aa6f1,10434 1.00
001a459a0ea96691,11832 1.00
001a60eb361ddcce,11343 1.00
001a664af4c86522,4499 1.00
001abaa4d7b1bff6,10494 1.00
001ac16f4d40d767,4499 1.00
001ae53b299b629c,9074 1.00
001b6152e9ebcc55,10317 1.00
001b715bcc3404d0,11973 1.00
001c14abb87dadee,8555 1.00
001c3fd61038afbb,14472 1.00
001dda380fe0ba7c,9060 1.00
001deb1af658dff1,3438 1.00
001e897d5843a2f6,1794 1.00
001e8a1a315b152c,10317 0.99
002032b69caabd68,573 1.00
0020d05219278e14,7314 1.00
0021438d0b42fae6,2373 1.00
002178816e50c78b,10621 1.00
00229fb626a4c226,10434 1.00
00241bc3b567af00,9074 1.00
0024356662a2dc86,12057 1.00
00244a394f6e0d11,10317 1.00
0024f9a7be9e52e4,12057 1.00
0025f252395efe10,10434 1.00
00273e8ac68611c6,2259 1.00
002794eaf4731a7f,573 1.00
002814a3f1e37070,7976 1.00
0028cafcc6b04b96,10621 1.00
00295956a11fb30e,9060 1.00
00299adcc8dce34d,10317 1.00
0029aceb8271ccc9,10434 1.00
